country,year,emission
China,1950,0.142
China,1951,0.179
China,1952,0.22
China,1953,0.226
China,1954,0.268
China,1955,0.312
China,1956,0.348
China,1957,0.407
China,1958,0.821
China,1959,1.11
China,1960,1.18
China,1961,0.822
China,1962,0.645
China,1963,0.628
China,1964,0.616
China,1965,0.656
China,1966,0.703
China,1967,0.567
China,1968,0.597
China,1969,0.715
China,1970,0.931
China,1971,1.03
China,1972,1.07
China,1973,1.09
China,1974,1.09
China,1975,1.23
China,1976,1.26
China,1977,1.36
China,1978,1.5
China,1979,1.51
China,1980,1.46
China,1981,1.42
China,1982,1.53
China,1983,1.59
China,1984,1.7
China,1985,1.82
China,1986,1.88
China,1987,1.96
China,1988,2.07
China,1989,2.06
China,1990,2.06
China,1991,2.13
China,1992,2.2
China,1993,2.33
China,1994,2.45
China,1995,2.63
China,1996,2.73
China,1997,2.71
China,1998,2.57
China,1999,2.54
China,2000,2.6
China,2001,2.64
China,2002,2.9
China,2003,3.39
China,2004,3.88
China,2005,4.34
China,2006,4.77
China,2007,5.1
China,2008,5.45
China,2009,5.7
China,2010,6.22
China,2011,6.83
China,2012,6.97
China,2013,7.04
China,2014,7.02
China,2015,6.91
China,2016,6.87
China,2017,6.93
China,2018,7.06
Germany,1950,7.31
Germany,1951,8.21
Germany,1952,8.66
Germany,1953,8.8
Germany,1954,9.27
Germany,1955,10.1
Germany,1956,10.7
Germany,1957,10.8
Germany,1958,10.4
Germany,1959,10.4
Germany,1960,11.1
Germany,1961,11.3
Germany,1962,11.9
Germany,1963,12.6
Germany,1964,12.8
Germany,1965,12.6
Germany,1966,12.4
Germany,1967,12.1
Germany,1968,12.7
Germany,1969,13.5
Germany,1970,13.1
Germany,1971,13.2
Germany,1972,13.2
Germany,1973,13.8
Germany,1974,13.5
Germany,1975,12.7
Germany,1976,13.9
Germany,1977,13.4
Germany,1978,13.7
Germany,1979,14.3
Germany,1980,14.1
Germany,1981,13.4
Germany,1982,13
Germany,1983,13
Germany,1984,13.3
Germany,1985,13.5
Germany,1986,13.5
Germany,1987,13.2
Germany,1988,13.2
Germany,1989,12.8
Germany,1990,13.3
Germany,1991,12.8
Germany,1992,12.1
Germany,1993,11.9
Germany,1994,11.6
Germany,1995,11.6
Germany,1996,11.8
