country,code,year,emission
China,CHN,1950,78647760
China,CHN,1951,101723632
China,CHN,1952,128221680
China,CHN,1953,134102400
China,CHN,1954,161256304
China,CHN,1955,190890736
China,CHN,1956,216348208
China,CHN,1957,256348096
China,CHN,1958,525380960
China,CHN,1959,720152146.7
China,CHN,1960,778979465.8
China,CHN,1961,550958537.3
China,CHN,1962,439342105.3
China,CHN,1963,435517603.7
China,CHN,1964,435703730.3
China,CHN,1965,474680624.9
China,CHN,1966,521458912.9
China,CHN,1967,432223556.9
China,CHN,1968,467805643
China,CHN,1969,575944671.2
China,CHN,1970,770167190.3
China,CHN,1971,874016350.7
China,CHN,1972,928893957.8
China,CHN,1973,965646598.3
China,CHN,1974,985085216
China,CHN,1975,1142101906
China,CHN,1976,1190964535
China,CHN,1977,1304402788
China,CHN,1978,1455257506
China,CHN,1979,1487113084
China,CHN,1980,1458886738
China,CHN,1981,1442782298
China,CHN,1982,1570468325
China,CHN,1983,1655810483
China,CHN,1984,1802317096
China,CHN,1985,1951773228
China,CHN,1986,2052242012
China,CHN,1987,2191053006
China,CHN,1988,2347763494
China,CHN,1989,2386884998
China,CHN,1990,2420302108
China,CHN,1991,2538923968
China,CHN,1992,2657112406
China,CHN,1993,2835795473
China,CHN,1994,3010242208
China,CHN,1995,3265056964
China,CHN,1996,3408346591
China,CHN,1997,3414549286
China,CHN,1998,3265902621
China,CHN,1999,3258134887
China,CHN,2000,3349294776
China,CHN,2001,3426144062
China,CHN,2002,3782439297
China,CHN,2003,4452310296
China,CHN,2004,5125894416
China,CHN,2005,5771168440
China,CHN,2006,6377748016
China,CHN,2007,6861750652
China,CHN,2008,7375189907
China,CHN,2009,7758811768
China,CHN,2010,8500542695
China,CHN,2011,9388199234
China,CHN,2012,9633899303
China,CHN,2013,9796527160
China,CHN,2014,9820360492
China,CHN,2015,9716467840
China,CHN,2016,9704479432
China,CHN,2017,9838754028
Germany,DEU,1950,510732288
Germany,DEU,1951,576918784
Germany,DEU,1952,611041616
Germany,DEU,1953,623565168
Germany,DEU,1954,659809456
Germany,DEU,1955,723585040
Germany,DEU,1956,766281632
Germany,DEU,1957,777999104
Germany,DEU,1958,756473104
Germany,DEU,1959,755905184
Germany,DEU,1960,814067520
Germany,DEU,1961,834970640
Germany,DEU,1962,883306128
Germany,DEU,1963,945638096
Germany,DEU,1964,969073040
Germany,DEU,1965,960264784
Germany,DEU,1966,951588432
Germany,DEU,1967,936382832
Germany,DEU,1968,984956480
Germany,DEU,1969,1052176224
Germany,DEU,1970,1026209456
Germany,DEU,1971,1037655792
Germany,DEU,1972,1042155184
Germany,DEU,1973,1086617824
Germany,DEU,1974,1063728816
Germany,DEU,1975,1003602576
Germany,DEU,1976,1092271376
Germany,DEU,1977,1054202416
Germany,DEU,1978,1081015568
Germany,DEU,1979,1120051824
Germany,DEU,1980,1102314400
Germany,DEU,1981,1050831536
Germany,DEU,1982,1018119344
Germany,DEU,1983,1014206192
Germany,DEU,1984,1035915392
Germany,DEU,1985,1046746176
Germany,DEU,1986,1050358880
Germany,DEU,1987,1035431744
Germany,DEU,1988,1032266048
Germany,DEU,1989,1016349632
Germany,DEU,1990,1012901808
Germany,DEU,1991,1014972286
Germany,DEU,1992,966705828.7
Germany,DEU,1993,956994179.8
Germany,DEU,1994,940407989.4
Germany,DEU,1995,940086746
Germany,DEU,1996,960174299.5
Germany,DEU,1997,932347358.9
Germany,DEU,1998,924404529.9
Germany,DEU,1999,896882683.4
Germany,DEU,2000,900960091.2
Germany,DEU,2001,917476828.5
Germany,DEU,2002,900955099.1
Germany,DEU,2003,901969864.6
Germany,DEU,2004,887996509.2
Germany,DEU,2005,867223505.9
Germany,DEU,2006,878747131.4
Germany,DEU,2007,852096162.2
Germany,DEU,2008,854420962.4
Germany,DEU,2009,789963521.6
Germany,DEU,2010,833684918
Germany,DEU,2011,810802325.3
Germany,DEU,2012,815197408.6
Germany,DEU,2013,832642995.5
Germany,DEU,2014,793635843.4
Germany,DEU,2015,797078165.2
Germany,DEU,2016,801753007.7
Germany,DEU,2017,799373210.9
India,IND,1950,66604192
India,IND,1951,69722256
India,IND,1952,73492512
India,IND,1953,74877504
India,IND,1954,78739360
India,IND,1955,85440816
India,IND,1956,88456288
India,IND,1957,99235776
India,IND,1958,103724176
India,IND,1959,109818753.1
India,IND,1960,120576041.5
India,IND,1961,130392926.5
India,IND,1962,143451843.1
India,IND,1963,154068161.4
India,IND,1964,150638991.1
India,IND,1965,165961362.8
