country,code,year,emission
China,CHN,1990,2420302108
China,CHN,1991,2538923968
China,CHN,1992,2657112406
China,CHN,1993,2835795473
China,CHN,1994,3010242208
China,CHN,1995,3265056964
China,CHN,1996,3408346591
China,CHN,1997,3414549286
China,CHN,1998,3265902621
China,CHN,1999,3258134887
China,CHN,2000,3349294776
China,CHN,2001,3426144062
China,CHN,2002,3782439297
China,CHN,2003,4452310296
China,CHN,2004,5125894416
China,CHN,2005,5771168440
China,CHN,2006,6377748016
China,CHN,2007,6861750652
China,CHN,2008,7375189907
China,CHN,2009,7758811768
China,CHN,2010,8500542695
China,CHN,2011,9388199234
China,CHN,2012,9633899303
China,CHN,2013,9796527160
China,CHN,2014,9820360492
China,CHN,2015,9716467840
China,CHN,2016,9704479432
China,CHN,2017,9838754028
"Congo, Dem. Rep.",COG,1990,1179389.14
"Congo, Dem. Rep.",COG,1991,994833.87
"Congo, Dem. Rep.",COG,1992,1268260.28
"Congo, Dem. Rep.",COG,1993,1308491
"Congo, Dem. Rep.",COG,1994,2139137.29
"Congo, Dem. Rep.",COG,1995,1555837.86
"Congo, Dem. Rep.",COG,1996,1710040.63
"Congo, Dem. Rep.",COG,1997,2339263.1
"Congo, Dem. Rep.",COG,1998,776768
"Congo, Dem. Rep.",COG,1999,820736
"Congo, Dem. Rep.",COG,2000,1045829.88
"Congo, Dem. Rep.",COG,2001,765776
"Congo, Dem. Rep.",COG,2002,575248
"Congo, Dem. Rep.",COG,2003,916000
"Congo, Dem. Rep.",COG,2004,948976
"Congo, Dem. Rep.",COG,2005,971447.59
"Congo, Dem. Rep.",COG,2006,1106634.37
"Congo, Dem. Rep.",COG,2007,1201342.93
"Congo, Dem. Rep.",COG,2008,1296344.72
"Congo, Dem. Rep.",COG,2009,1731577.1
"Congo, Dem. Rep.",COG,2010,1969443.82
"Congo, Dem. Rep.",COG,2011,2248504.81
"Congo, Dem. Rep.",COG,2012,2950785.3
"Congo, Dem. Rep.",COG,2013,3057817.33
"Congo, Dem. Rep.",COG,2014,3041075.06
"Congo, Dem. Rep.",COG,2015,3228418.9
"Congo, Dem. Rep.",COG,2016,3374154.13
"Congo, Dem. Rep.",COG,2017,3409725
Germany,DEU,1990,1012901808
Germany,DEU,1991,1014972286
Germany,DEU,1992,966705828.7
Germany,DEU,1993,956994179.8
Germany,DEU,1994,940407989.4
Germany,DEU,1995,940086746
Germany,DEU,1996,960174299.5
Germany,DEU,1997,932347358.9
Germany,DEU,1998,924404529.9
Germany,DEU,1999,896882683.4
Germany,DEU,2000,900960091.2
Germany,DEU,2001,917476828.5
Germany,DEU,2002,900955099.1
Germany,DEU,2003,901969864.6
Germany,DEU,2004,887996509.2
Germany,DEU,2005,867223505.9
Germany,DEU,2006,878747131.4
Germany,DEU,2007,852096162.2
Germany,DEU,2008,854420962.4
Germany,DEU,2009,789963521.6
Germany,DEU,2010,833684918
Germany,DEU,2011,810802325.3
Germany,DEU,2012,815197408.6
Germany,DEU,2013,832642995.5
Germany,DEU,2014,793635843.4
Germany,DEU,2015,797078165.2
Germany,DEU,2016,801753007.7
Germany,DEU,2017,799373210.9
India,IND,1990,616579098.4
India,IND,1991,656740892.9
India,IND,1992,698756949.7
India,IND,1993,722894259.4
India,IND,1994,764241966.7
India,IND,1995,811460787.1
India,IND,1996,878826964.5
India,IND,1997,915049313
India,IND,1998,933549258.1
India,IND,1999,995233071.6
India,IND,2000,1029637759
India,IND,2001,1035640714
India,IND,2002,1047595651
India,IND,2003,1091873009
India,IND,2004,1145545234
India,IND,2005,1210145667
India,IND,2006,1287149211
India,IND,2007,1390253491
India,IND,2008,1547991039
India,IND,2009,1720120560
India,IND,2010,1700027394
India,IND,2011,1817171600
India,IND,2012,1983758813
India,IND,2013,1997878578
India,IND,2014,2207533892
India,IND,2015,2276407195
India,IND,2016,2377447863
India,IND,2017,2466765373
Iran,IRN,1990,209238343.5
Iran,IRN,1991,225954206
Iran,IRN,1992,226957012.8
Iran,IRN,1993,235576603.6
Iran,IRN,1994,263520377.9
Iran,IRN,1995,271147525
Iran,IRN,1996,274007761.9
Iran,IRN,1997,267099278.9
Iran,IRN,1998,306006254.7
Iran,IRN,1999,379627035.1
Iran,IRN,2000,369263500.2
Iran,IRN,2001,394931363
Iran,IRN,2002,397798324.6
Iran,IRN,2003,413993478
Iran,IRN,2004,442089693.9
Iran,IRN,2005,463529961.4
Iran,IRN,2006,503790553.5
Iran,IRN,2007,513313832.8
Iran,IRN,2008,534910104.2
Iran,IRN,2009,546884971.4
Iran,IRN,2010,564034508.7
Iran,IRN,2011,579040046.4
Iran,IRN,2012,600680295.7
Iran,IRN,2013,608962881.9
Iran,IRN,2014,639111335.3
Iran,IRN,2015,630361828.9
Iran,IRN,2016,637562152.6
Iran,IRN,2017,672312342.6
Japan,JPN,1990,1155263415
Japan,JPN,1991,1167040517
Japan,JPN,1992,1176942570
Japan,JPN,1993,1170196733
Japan,JPN,1994,1225173421
Japan,JPN,1995,1237852824
Japan,JPN,1996,1249875688
Japan,JPN,1997,1243367132
Japan,JPN,1998,1203710533
Japan,JPN,1999,1239840120
Japan,JPN,2000,1262734462
Japan,JPN,2001,1248087424
Japan,JPN,2002,1277236546
Japan,JPN,2003,1285385412
Japan,JPN,2004,1280036122
Japan,JPN,2005,1286856314
Japan,JPN,2006,1262639452
Japan,JPN,2007,1300051973
Japan,JPN,2008,1229245450
Japan,JPN,2009,1160203633
Japan,JPN,2010,1211572868
Japan,JPN,2011,1261398590
Japan,JPN,2012,1302082927
Japan,JPN,2013,1314069572
Japan,JPN,2014,1264173252
Japan,JPN,2015,1223666475
Japan,JPN,2016,1204318623
Japan,JPN,2017,1205061178
Russia,RUS,1990,2571210651
Russia,RUS,1991,2437038082
Russia,RUS,1992,1993217628
Russia,RUS,1993,1890935002
Russia,RUS,1994,1669637144
Russia,RUS,1995,1640263218
Russia,RUS,1996,1606949015
Russia,RUS,1997,1502137425
Russia,RUS,1998,1484852223
Russia,RUS,1999,1512984706
Russia,RUS,2000,1499616209
Russia,RUS,2001,1538244400
Russia,RUS,2002,1528961747
Russia,RUS,2003,1562472351
Russia,RUS,2004,1570864198
Russia,RUS,2005,1588662864
Russia,RUS,2006,1648658734
Russia,RUS,2007,1647728940
Russia,RUS,2008,1679794450
Russia,RUS,2009,1572439009
Russia,RUS,2010,1657560679
Russia,RUS,2011,1712424769
Russia,RUS,2012,1726099500
Russia,RUS,2013,1665988574
Russia,RUS,2014,1667110707
Russia,RUS,2015,1671895079
Russia,RUS,2016,1668069933
Russia,RUS,2017,1692794839
South Korea,KOR,1990,247438196.7
South Korea,KOR,1991,262038316.3
South Korea,KOR,1992,282194043
South Korea,KOR,1993,321837776.4
South Korea,KOR,1994,344263753.4
South Korea,KOR,1995,373992430.8
South Korea,KOR,1996,401529873.6
South Korea,KOR,1997,427786068
South Korea,KOR,1998,363548260.1
South Korea,KOR,1999,398325257.6
South Korea,KOR,2000,445440883.6
South Korea,KOR,2001,448550576
South Korea,KOR,2002,463628014.2
South Korea,KOR,2003,462407318
South Korea,KOR,2004,478605780.5
South Korea,KOR,2005,459345663.5
South Korea,KOR,2006,465605909.8
South Korea,KOR,2007,493353218
South Korea,KOR,2008,505782554.4
